genotype,treatment,run,cat_freq
WT,YES,1,0.005802708
WT,YES,2,0.007122507
WT,YES,3,0.003070624
WT,EMM-NH4Cl,1,0
WT,EMM-NH4Cl,2,0.004160888
WT,EMM-NH4Cl,3,0
WT,EMM-NH4SO4,1,0
WT,EMM-NH4SO4,2,0.001342282
WT,EMM-NH4SO4,3,0
Dcbf11,YES,1,0.068965517
Dcbf11,YES,2,0.082692308
Dcbf11,YES,3,0.109575518
Dcbf11,EMM-NH4Cl,1,0.044989775
Dcbf11,EMM-NH4Cl,2,0.063360882
Dcbf11,EMM-NH4Cl,3,0.032857143
Dcbf11,EMM-NH4SO4,1,0.042586751
Dcbf11,EMM-NH4SO4,2,0.033274956
Dcbf11,EMM-NH4SO4,3,0.050233645
