genotype,treatment,run,cat_freq
WT,YES,1,0.004381161
WT,YES,2,0.00255102
WT,YES,3,0
WT,YES,4,0.000815661
WT,Ammonium,1,0
WT,Ammonium,2,0.001453488
WT,Ammonium,3,0.001248439
WT,Ammonium,4,0
WT,Glu_20mM,1,0.001506024
WT,Glu_20mM,2,0
WT,Glu_20mM,3,NA
WT,Glu_20mM,4,NA
WT,Glu_100mM,1,0
WT,Glu_100mM,2,0.003562945
WT,Glu_100mM,3,0.00148368
WT,Glu_100mM,4,0
Dcbf11,YES,1,0.086956522
Dcbf11,YES,2,0.096359743
Dcbf11,YES,3,0.055239643
Dcbf11,YES,4,0.046466602
Dcbf11,Ammonium,1,0.038309115
Dcbf11,Ammonium,2,0.027456647
Dcbf11,Ammonium,3,0.020234987
Dcbf11,Ammonium,4,0.019216556
Dcbf11,Glu_20mM,1,0.077302632
Dcbf11,Glu_20mM,2,0.060031596
Dcbf11,Glu_20mM,3,0.048589342
Dcbf11,Glu_20mM,4,NA
Dcbf11,Glu_100mM,1,NA
Dcbf11,Glu_100mM,2,0.039117352
Dcbf11,Glu_100mM,3,0.025886865
Dcbf11,Glu_100mM,4,0.028312571
