genotype,treatment,run,cat_freq
WT,YES,1,0.003164557
WT,YES,2,0
WT,YES,3,0
WT,Amm,1,0
WT,Amm,2,0
WT,Amm,3,0.002134472
WT,Glu,1,0
WT,Glu,2,0.001968504
WT,Glu,3,0
WT,Pro,1,0
WT,Pro,2,0.005067568
WT,Pro,3,0.003069839
WT,Ura,1,0.002994012
WT,Ura,2,0.002997003
WT,Ura,3,0.000801925
Dcbf11,YES,1,0.045123726
Dcbf11,YES,2,0.07826087
Dcbf11,YES,3,0.042427814
Dcbf11,Amm,1,0.021929825
Dcbf11,Amm,2,0.034371643
Dcbf11,Amm,3,0.02646086
Dcbf11,Glu,1,0.031028369
Dcbf11,Glu,2,0.042819499
Dcbf11,Glu,3,0.026966292
Dcbf11,Pro,1,0.040927694
Dcbf11,Pro,2,0.059760956
Dcbf11,Pro,3,0.042236764
Dcbf11,Ura,1,0.049307958
Dcbf11,Ura,2,0.049164208
Dcbf11,Ura,3,0.041968162
