genotype,treatment,area
WT,YES,12.065
WT,YES,10.75
WT,YES,16.102
WT,YES,14.553
WT,YES,13.144
WT,YES,14.741
WT,YES,11.454
WT,YES,12.44
WT,YES,14.036
WT,YES,13.238
WT,YES,13.52
WT,YES,12.346
WT,YES,13.943
WT,YES,12.863
WT,YES,14.975
WT,YES,12.206
WT,YES,13.52
WT,YES,11.736
WT,YES,12.863
WT,YES,14.036
WT,YES,14.365
WT,YES,11.126
WT,YES,11.079
WT,YES,12.675
WT,YES,10.985
WT,YES,11.032
WT,YES,14.553
WT,YES,11.548
WT,YES,12.487
WT,YES,11.267
WT,YES,10.6564
WT,YES,13.47307
WT,YES,14.31807
WT,YES,11.26667
WT,YES,10.79723
WT,YES,10.2339
WT,YES,9.57667
WT,YES,12.58112
WT,YES,11.87695
WT,YES,13.05056
WT,YES,11.12584
WT,YES,14.59973
WT,YES,13.05056
WT,YES,16.28973
WT,YES,12.06473
WT,YES_N,12.722
WT,YES_N,10.093
WT,YES_N,13.943
WT,YES_N,11.83
WT,YES_N,11.877
WT,YES_N,11.032
WT,YES_N,12.159
WT,YES_N,10.375
WT,YES_N,15.633
WT,YES_N,11.454
WT,YES_N,11.877
WT,YES_N,10.422
WT,YES_N,12.581
WT,YES_N,10.516
WT,YES_N,11.501
WT,YES_N,11.361
WT,YES_N,13.051
WT,YES_N,12.206
WT,YES_N,12.628
WT,YES_N,19.106
WT,YES_N,9.999
WT,YES_N,11.924
WT,YES_N,12.91
WT,YES_N,11.079
WT,YES_N,11.314
WT,YES_N,18.214
WT,YES_N,11.267
WT,YES_N,11.83
WT,YES_N,12.253
WT,YES_N,14.975
WT,YES_N,12.018
WT,YES_N,11.032
WT,YES_N,11.079
WT,YES_N,11.924
WT,YES_N,13.896
WT,YES_N,11.83
WT,YES_N,11.501
WT,YES_N,11.83
WT,YES_N,12.206
WT,YES_N,13.708
WT,YES_N,11.173
WT,YES_N,12.44
WT,YES_N,10.985
WT,YES_N,13.238
WT,YES_N,10.75
Dcbf11,YES,9.342
Dcbf11,YES,10.656
Dcbf11,YES,10.891
Dcbf11,YES,11.361
Dcbf11,YES,11.408
Dcbf11,YES,10.328
Dcbf11,YES,13.051
Dcbf11,YES,11.924
Dcbf11,YES,9.06
Dcbf11,YES,10.985
Dcbf11,YES,11.454
Dcbf11,YES,14.834
Dcbf11,YES,10.375
Dcbf11,YES,12.628
Dcbf11,YES,10.797
Dcbf11,YES,10.187
Dcbf11,YES,10.14
Dcbf11,YES,10.75
Dcbf11,YES,11.408
Dcbf11,YES,10.422
Dcbf11,YES,10.844
Dcbf11,YES,11.408
Dcbf11,YES,10.469
Dcbf11,YES,9.342
Dcbf11,YES,12.065
Dcbf11,YES,10.797
Dcbf11,YES,11.22
Dcbf11,YES,12.91
Dcbf11,YES,12.112
Dcbf11,YES,11.36056
Dcbf11,YES,10.14001
Dcbf11,YES,9.48278
Dcbf11,YES,12.11168
Dcbf11,YES,14.59973
Dcbf11,YES,9.95223
Dcbf11,YES,13.47307
Dcbf11,YES,13.33223
Dcbf11,YES,13.56695
Dcbf11,YES,10.2339
Dcbf11,YES,10.79723
Dcbf11,YES,12.253
Dcbf11,YES_N,14.6
Dcbf11,YES_N,11.595
Dcbf11,YES_N,14.788
Dcbf11,YES_N,13.285
Dcbf11,YES_N,10.234
Dcbf11,YES_N,10.14
Dcbf11,YES_N,10.938
Dcbf11,YES_N,8.356
Dcbf11,YES_N,10.844
Dcbf11,YES_N,10.703
Dcbf11,YES_N,9.718
Dcbf11,YES_N,13.285
Dcbf11,YES_N,11.501
Dcbf11,YES_N,10.891
Dcbf11,YES_N,12.581
Dcbf11,YES_N,9.389
Dcbf11,YES_N,11.126
Dcbf11,YES_N,9.718
Dcbf11,YES_N,14.6
Dcbf11,YES_N,10.563
Dcbf11,YES_N,13.52
Dcbf11,YES_N,14.036
Dcbf11,YES_N,13.989
Dcbf11,YES_N,10.891
Dcbf11,YES_N,14.788
Dcbf11,YES_N,12.112
Dcbf11,YES_N,11.83
Dcbf11,YES_N,9.483
Dcbf11,YES_N,12.065
Dcbf11,YES_N,11.267
Dcbf11,YES_N,12.018
Dcbf11,YES_N,10.422
Dcbf11,YES_N,10.469
Dcbf11,YES_N,10.422
Dcbf11,YES_N,10.234
Dcbf11,YES_N,9.999
Dcbf11,YES_N,13.943
Dcbf11,YES_N,11.642
Dcbf11,YES_N,12.581
Dcbf11,YES_N,10.563
Dcbf11,YES_N,10.187
Dcbf11,YES_N,10.797
Dcbf11,YES_N,12.44
Dcbf11,YES_N,9.811
Dcbf11,YES_N,11.079
