genotype,treatment,area
WT,YES,15.492
WT,YES,13.802
WT,YES,18.355
WT,YES,16.055
WT,YES,15.773
WT,YES,18.637
WT,YES,13.004
WT,YES,15.116
WT,YES,17.041
WT,YES,14.412
WT,YES,17.933
WT,YES,15.773
WT,YES,16.337
WT,YES,14.881
WT,YES,17.933
WT,YES,15.304
WT,YES,19.247
WT,YES,14.928
WT,YES,15.867
WT,YES,18.214
WT,YES,18.214
WT,YES,13.989
WT,YES,14.177
WT,YES,16.571
WT,YES,13.051
WT,YES,13.661
WT,YES,16.806
WT,YES,12.112
WT,YES,15.069
WT,YES,14.506
WT,YES,12.72195
WT,YES,16.47751
WT,YES,16.28973
WT,YES,14.97529
WT,YES,13.52001
WT,YES,13.09751
WT,YES,11.97084
WT,YES,16.24279
WT,YES,14.13029
WT,YES,14.13029
WT,YES,12.48723
WT,YES,17.79196
WT,YES,15.53862
WT,YES,18.82474
WT,YES,13.98945
WT,YES_N,16.29
WT,YES_N,13.849
WT,YES_N,17.041
WT,YES_N,13.285
WT,YES_N,14.224
WT,YES_N,14.506
WT,YES_N,14.647
WT,YES_N,12.628
WT,YES_N,18.966
WT,YES_N,14.318
WT,YES_N,18.543
WT,YES_N,12.957
WT,YES_N,14.177
WT,YES_N,13.661
WT,YES_N,14.459
WT,YES_N,14.271
WT,YES_N,14.036
WT,YES_N,14.881
WT,YES_N,15.586
WT,YES_N,12.675
WT,YES_N,13.755
WT,YES_N,16.947
WT,YES_N,13.896
WT,YES_N,14.036
WT,YES_N,12.44
WT,YES_N,15.022
WT,YES_N,13.52
WT,YES_N,16.759
WT,YES_N,14.834
WT,YES_N,12.628
WT,YES_N,11.736
WT,YES_N,14.928
WT,YES_N,16.008
WT,YES_N,13.567
WT,YES_N,12.487
WT,YES_N,14.318
WT,YES_N,13.989
WT,YES_N,15.539
WT,YES_N,13.614
WT,YES_N,15.116
WT,YES_N,14.741
WT,YES_N,16.431
WT,YES_N,13.004
Dcbf11,YES,11.924
Dcbf11,YES,11.877
Dcbf11,YES,12.816
Dcbf11,YES,12.816
Dcbf11,YES,12.393
Dcbf11,YES,11.877
Dcbf11,YES,17.041
Dcbf11,YES,13.238
Dcbf11,YES,12.44
Dcbf11,YES,14.036
Dcbf11,YES,13.051
Dcbf11,YES,18.778
Dcbf11,YES,14.741
Dcbf11,YES,14.083
Dcbf11,YES,13.238
Dcbf11,YES,11.032
Dcbf11,YES,12.628
Dcbf11,YES,11.971
Dcbf11,YES,14.6
Dcbf11,YES,12.91
Dcbf11,YES,13.144
Dcbf11,YES,15.679
Dcbf11,YES,13.051
Dcbf11,YES,11.83
Dcbf11,YES,14.975
Dcbf11,YES,12.299
Dcbf11,YES,14.365
Dcbf11,YES,17.369
Dcbf11,YES,15.257
Dcbf11,YES,16.33668
Dcbf11,YES,12.25251
Dcbf11,YES,11.64223
Dcbf11,YES,15.49168
Dcbf11,YES,15.53862
Dcbf11,YES,11.17279
Dcbf11,YES,18.54307
Dcbf11,YES,18.91862
Dcbf11,YES,16.24279
Dcbf11,YES,12.29945
Dcbf11,YES,12.90973
Dcbf11,YES,13.004
Dcbf11,YES_N,18.778
Dcbf11,YES_N,11.642
Dcbf11,YES_N,15.257
Dcbf11,YES_N,16.384
Dcbf11,YES_N,11.454
Dcbf11,YES_N,10.703
Dcbf11,YES_N,13.614
Dcbf11,YES_N,12.722
Dcbf11,YES_N,12.487
Dcbf11,YES_N,10.375
Dcbf11,YES_N,10.797
Dcbf11,YES_N,16.384
Dcbf11,YES_N,13.191
Dcbf11,YES_N,15.163
Dcbf11,YES_N,15.82
Dcbf11,YES_N,12.769
Dcbf11,YES_N,13.943
Dcbf11,YES_N,12.675
Dcbf11,YES_N,17.557
Dcbf11,YES_N,11.642
Dcbf11,YES_N,14.756
Dcbf11,YES_N,14.036
Dcbf11,YES_N,18.027
Dcbf11,YES_N,13.52
Dcbf11,YES_N,18.872
Dcbf11,YES_N,14.788
Dcbf11,YES_N,14.6
Dcbf11,YES_N,11.079
Dcbf11,YES_N,16.337
Dcbf11,YES_N,12.91
Dcbf11,YES_N,14.975
Dcbf11,YES_N,11.971
Dcbf11,YES_N,12.863
Dcbf11,YES_N,12.91
Dcbf11,YES_N,13.943
Dcbf11,YES_N,12.393
Dcbf11,YES_N,16.384
Dcbf11,YES_N,12.206
Dcbf11,YES_N,14.553
Dcbf11,YES_N,12.675
Dcbf11,YES_N,12.112
Dcbf11,YES_N,12.346
Dcbf11,YES_N,15.773
Dcbf11,YES_N,11.501
Dcbf11,YES_N,13.051
