FA,genotype,treatment,run,amount
C12:0,WT,YES,1,1.305085685
C12:0,WT,YES,2,1.378624062
C12:0,WT,YES,3,0.715943439
C12:0,WT,YES-N,1,1.202171251
C12:0,WT,YES-N,2,1.218296244
C12:0,WT,YES-N,3,0.72223554
C12:0,Dcbf11,YES,1,1.041142707
C12:0,Dcbf11,YES,2,1.002778706
C12:0,Dcbf11,YES,3,0.755542553
C12:0,Dcbf11,YES-N,1,1.022276135
C12:0,Dcbf11,YES-N,2,1.05260168
C12:0,Dcbf11,YES-N,3,0.890331308
C14:0,WT,YES,1,0.721221944
C14:0,WT,YES,2,0.683028943
C14:0,WT,YES,3,0.567129537
C14:0,WT,YES-N,1,0.529194232
C14:0,WT,YES-N,2,0.600750707
C14:0,WT,YES-N,3,0.516090574
C14:0,Dcbf11,YES,1,0.744844907
C14:0,Dcbf11,YES,2,0.837136342
C14:0,Dcbf11,YES,3,0.770482537
C14:0,Dcbf11,YES-N,1,0.73708623
C14:0,Dcbf11,YES-N,2,0.907542462
C14:0,Dcbf11,YES-N,3,0.882990616
C16:0,WT,YES,1,10.02312792
C16:0,WT,YES,2,9.908957056
C16:0,WT,YES,3,9.952060003
C16:0,WT,YES-N,1,9.570855689
C16:0,WT,YES-N,2,9.908759275
C16:0,WT,YES-N,3,9.519433762
C16:0,Dcbf11,YES,1,17.99298577
C16:0,Dcbf11,YES,2,18.08828177
C16:0,Dcbf11,YES,3,18.08380635
C16:0,Dcbf11,YES-N,1,18.11049622
C16:0,Dcbf11,YES-N,2,18.2632134
C16:0,Dcbf11,YES-N,3,18.43104938
C16:1,WT,YES,1,1.161909458
C16:1,WT,YES,2,1.354764695
C16:1,WT,YES,3,1.245077938
C16:1,WT,YES-N,1,0.95297855
C16:1,WT,YES-N,2,1.179827741
C16:1,WT,YES-N,3,1.035469031
C16:1,Dcbf11,YES,1,1.430988551
C16:1,Dcbf11,YES,2,1.611867516
C16:1,Dcbf11,YES,3,1.572890224
C16:1,Dcbf11,YES-N,1,1.330551646
C16:1,Dcbf11,YES-N,2,1.579489117
C16:1,Dcbf11,YES-N,3,1.618970921
C18:0,WT,YES,1,8.512208005
C18:0,WT,YES,2,8.182953701
C18:0,WT,YES,3,7.899051663
C18:0,WT,YES-N,1,8.569828563
C18:0,WT,YES-N,2,8.538629424
C18:0,WT,YES-N,3,8.522972615
C18:0,Dcbf11,YES,1,16.57683615
C18:0,Dcbf11,YES,2,17.08209818
C18:0,Dcbf11,YES,3,17.64348295
C18:0,Dcbf11,YES-N,1,17.57697367
C18:0,Dcbf11,YES-N,2,18.29059821
C18:0,Dcbf11,YES-N,3,18.49429364
C18:1,WT,YES,1,76.82372763
C18:1,WT,YES,2,77.07101171
C18:1,WT,YES,3,77.89092073
C18:1,WT,YES-N,1,77.68358515
C18:1,WT,YES-N,2,77.04906675
C18:1,WT,YES-N,3,77.58261724
C18:1,Dcbf11,YES,1,59.59220052
C18:1,Dcbf11,YES,2,58.61211277
C18:1,Dcbf11,YES,3,58.37933664
C18:1,Dcbf11,YES-N,1,58.70727391
C18:1,Dcbf11,YES-N,2,56.33022869
C18:1,Dcbf11,YES-N,3,56.34193837
C20:0,WT,YES,1,0.347020348
C20:0,WT,YES,2,0.36531019
C20:0,WT,YES,3,0.368308319
C20:0,WT,YES-N,1,0.349620412
C20:0,WT,YES-N,2,0.372732777
C20:0,WT,YES-N,3,0.341046489
C20:0,Dcbf11,YES,1,0.298969075
C20:0,Dcbf11,YES,2,0.315297725
C20:0,Dcbf11,YES,3,0.342444741
C20:0,Dcbf11,YES-N,1,0.296393213
C20:0,Dcbf11,YES-N,2,0.301140282
C20:0,Dcbf11,YES-N,3,0.168943085
C22:0,WT,YES,1,0.062982919
C22:0,WT,YES,2,0.068359269
C22:0,WT,YES,3,0.058960506
C22:0,WT,YES-N,1,0.068282595
C22:0,WT,YES-N,2,0.065701157
C22:0,WT,YES-N,3,0.06659752
C22:0,Dcbf11,YES,1,0.106810923
C22:0,Dcbf11,YES,2,0.1034234
C22:0,Dcbf11,YES,3,0.101577387
C22:0,Dcbf11,YES-N,1,0.096623007
C22:0,Dcbf11,YES-N,2,0.097483129
C22:0,Dcbf11,YES-N,3,0.091892607
C24:0,WT,YES,1,0.969874
C24:0,WT,YES,2,0.924204955
C24:0,WT,YES,3,1.240070386
C24:0,WT,YES-N,1,0.997818388
C24:0,WT,YES-N,2,1.001350932
C24:0,WT,YES-N,3,1.617361957
C24:0,Dcbf11,YES,1,2.0989141
C24:0,Dcbf11,YES,2,2.236876826
C24:0,Dcbf11,YES,3,2.232860393
C24:0,Dcbf11,YES-N,1,2.011532766
C24:0,Dcbf11,YES-N,2,3.030451785
C24:0,Dcbf11,YES-N,3,2.955030491
C26:0,WT,YES,1,0.072842086
C26:0,WT,YES,2,0.062785416
C26:0,WT,YES,3,0.062477483
C26:0,WT,YES-N,1,0.075665166
C26:0,WT,YES-N,2,0.064884994
C26:0,WT,YES-N,3,0.076175269
C26:0,Dcbf11,YES,1,0.116307305
C26:0,Dcbf11,YES,2,0.110126768
C26:0,Dcbf11,YES,3,0.117576224
C26:0,Dcbf11,YES-N,1,0.1107932
C26:0,Dcbf11,YES-N,2,0.147251238
C26:0,Dcbf11,YES-N,3,0.124559581
