genotype,treatment,phase,length
WT,YES,PM,16
WT,YES,PM,6
WT,YES,PM,18
WT,YES,PM,30
WT,YES,PM,14
WT,YES,PM,16
WT,YES,PM,12
WT,YES,PM,20
WT,YES,PM,12
WT,YES,PM,16
WT,YES,PM,10
WT,YES,PM,10
WT,YES,PM,8
WT,YES,PM,12
WT,YES,PM,10
WT,YES,PM,10
WT,YES,PM,12
WT,YES,PM,12
WT,YES,PM,10
WT,YES,PM,10
WT,YES,PM,10
WT,YES,PM,12
WT,YES,PM,12
WT,YES,PM,26
WT,YES,PM,14
WT,YES,PM,10
WT,YES,PM,12
WT,YES,PM,10
WT,YES,PM,8
WT,YES,PM,22
WT,YES,PM,12
WT,YES_N,PM,28
WT,YES_N,PM,14
WT,YES_N,PM,12
WT,YES_N,PM,12
WT,YES_N,PM,14
WT,YES_N,PM,12
WT,YES_N,PM,14
WT,YES_N,PM,16
WT,YES_N,PM,12
WT,YES_N,PM,12
WT,YES_N,PM,16
WT,YES_N,PM,12
WT,YES_N,PM,12
WT,YES_N,PM,12
WT,YES_N,PM,8
WT,YES_N,PM,10
WT,YES_N,PM,10
WT,YES_N,PM,10
WT,YES_N,PM,12
WT,YES_N,PM,12
WT,YES_N,PM,10
WT,YES_N,PM,10
WT,YES_N,PM,10
WT,YES_N,PM,24
WT,YES_N,PM,10
WT,YES_N,PM,8
WT,YES_N,PM,12
WT,YES_N,PM,10
WT,YES_N,PM,10
WT,YES_N,PM,8
WT,YES_N,PM,12
WT,YES_N,PM,16
WT,YES_N,PM,10
WT,YES_N,PM,10
WT,YES_N,PM,16
WT,YES_N,PM,14
WT,YES_N,PM,10
Dcbf11,YES,PM,14
Dcbf11,YES,PM,12
Dcbf11,YES,PM,20
Dcbf11,YES,PM,12
Dcbf11,YES,PM,26
Dcbf11,YES,PM,18
Dcbf11,YES,PM,28
Dcbf11,YES,PM,22
Dcbf11,YES,PM,10
Dcbf11,YES,PM,16
Dcbf11,YES,PM,12
Dcbf11,YES,PM,16
Dcbf11,YES,PM,22
Dcbf11,YES,PM,10
Dcbf11,YES,PM,22
Dcbf11,YES,PM,22
Dcbf11,YES,PM,16
Dcbf11,YES,PM,14
Dcbf11,YES,PM,10
Dcbf11,YES,PM,10
Dcbf11,YES,PM,18
Dcbf11,YES,PM,12
Dcbf11,YES,PM,12
Dcbf11,YES,PM,34
Dcbf11,YES,PM,12
Dcbf11,YES,PM,12
Dcbf11,YES,PM,12
Dcbf11,YES,PM,18
Dcbf11,YES,PM,14
Dcbf11,YES,PM,14
Dcbf11,YES,PM,12
Dcbf11,YES,PM,12
Dcbf11,YES,PM,12
Dcbf11,YES,PM,26
Dcbf11,YES,PM,18
Dcbf11,YES,PM,22
Dcbf11,YES_N,PM,46
Dcbf11,YES_N,PM,12
Dcbf11,YES_N,PM,10
Dcbf11,YES_N,PM,14
Dcbf11,YES_N,PM,12
Dcbf11,YES_N,PM,10
Dcbf11,YES_N,PM,10
Dcbf11,YES_N,PM,12
Dcbf11,YES_N,PM,8
Dcbf11,YES_N,PM,10
Dcbf11,YES_N,PM,14
Dcbf11,YES_N,PM,10
Dcbf11,YES_N,PM,30
Dcbf11,YES_N,PM,10
Dcbf11,YES_N,PM,12
Dcbf11,YES_N,PM,10
Dcbf11,YES_N,PM,14
Dcbf11,YES_N,PM,8
Dcbf11,YES_N,PM,10
Dcbf11,YES_N,PM,16
Dcbf11,YES_N,PM,12
Dcbf11,YES_N,PM,10
Dcbf11,YES_N,PM,10
Dcbf11,YES_N,PM,10
Dcbf11,YES_N,PM,8
Dcbf11,YES_N,PM,8
Dcbf11,YES_N,PM,12
Dcbf11,YES_N,PM,10
Dcbf11,YES_N,PM,8
Dcbf11,YES_N,PM,16
Dcbf11,YES_N,PM,10
Dcbf11,YES_N,PM,14
Dcbf11,YES_N,PM,12
Dcbf11,YES_N,PM,14
Dcbf11,YES_N,PM,16
Dcbf11,YES_N,PM,14
Dcbf11,YES_N,PM,18
Dcbf11,YES_N,PM,12
Dcbf11,YES_N,PM,34
Dcbf11,YES_N,PM,12
Dcbf11,YES_N,PM,14
WT,YES,A,14
WT,YES,A,10
WT,YES,A,28
WT,YES,A,10
WT,YES,A,8
WT,YES,A,10
WT,YES,A,8
WT,YES,A,16
WT,YES,A,10
WT,YES,A,12
WT,YES,A,8
WT,YES,A,10
WT,YES,A,8
WT,YES,A,8
WT,YES,A,14
WT,YES,A,10
WT,YES,A,10
