genotype,treatment,run,cat_freq
WT,YES,1,0.001408451
WT,YES,2,0
WT,YES,3,0
cut2-447,YES,1,0.25660793
cut2-447,YES,2,0.337192475
cut2-447,YES,3,0.23723042
cut3-477,YES,1,0.356536503
cut3-477,YES,2,0.282608696
cut3-477,YES,3,0.327808471
psm3-304,YES,1,0.095836606
psm3-304,YES,2,0.097736626
psm3-304,YES,3,0.131367292
WT,YES-N,1,0
WT,YES-N,2,0.002904163
WT,YES-N,3,0
cut2-447,YES-N,1,0.227060653
cut2-447,YES-N,2,0.240102171
cut2-447,YES-N,3,0.14556962
cut3-477,YES-N,1,0.25308642
cut3-477,YES-N,2,0.245749614
cut3-477,YES-N,3,0.247777778
psm3-304,YES-N,1,0.041759881
psm3-304,YES-N,2,0.042521994
psm3-304,YES-N,3,0.028571429
