genotype,treatment,run,cat_freq
cut1-206,YES,1,0.100706714
cut1-206,YES,2,0.125173853
cut1-206,YES-N,1,0.139150943
cut1-206,YES-N,2,0.131642512
cut4-533,YES,1,0.069055944
cut4-533,YES,2,0.082603254
cut4-533,YES-N,1,0.074363992
cut4-533,YES-N,2,0.058927001
cut9-665,YES,1,0.42074364
cut9-665,YES,2,0.5825
cut9-665,YES-N,1,0.407786885
cut9-665,YES-N,2,0.474445516
cut15-85,YES,1,0.231150794
cut15-85,YES,2,0.258241758
cut15-85,YES,3,0.289156627
cut15-85,YES-N,1,0.139534884
cut15-85,YES-N,2,0.123028391
cut15-85,YES-N,3,0.218104063
WT,YES,1,0
WT,YES,2,0.007860262
WT,YES-N,1,0.002487562
WT,YES-N,2,0
