genotype,temperature,run,cat_freq
WT,32,1,0.00204499
WT,32,2,0.004491018
WT,32,3,0.003846154
Dcbf11,32,1,0.162962963
Dcbf11,32,2,0.217171717
Dcbf11,32,3,0.092490842
tor1ts,32,1,0.087682672
tor1ts,32,2,0.091332712
tor1ts,32,3,0.064436183
tor1KO,32,1,0.006472492
tor1KO,32,2,0.018552876
tor1KO,32,3,0.013245033
WT,34,1,0.002325581
WT,34,2,0.003960396
WT,34,3,0.002570694
Dcbf11,34,1,0.107798165
Dcbf11,34,2,0.234042553
Dcbf11,34,3,0.122723674
tor1ts,34,1,0.047957371
tor1ts,34,2,0.058436214
tor1ts,34,3,0.049321825
tor1KO,34,1,NA
